City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,mhamid,29.82,-5.72,14.49,21,53,3.62,MA,1706995334
292,bac lieu,9.285,105.7244,24.93,81,44,2.7,VN,1706995335
293,laascaanood,8.4774,47.3597,21.8,70,6,4.61,SO,1706995335
294,am timan,11.0297,20.2827,25.81,17,33,2.38,TD,1706995336
295,menongue,-14.6585,17.691,18.95,86,94,0.76,AO,1706995337
296,chonchi,-42.6128,-73.8092,20.75,46,60,1.05,CL,1706995338
297,caluula,11.9661,50.7569,24.7,80,7,3.81,SO,1706995339
298,torit,4.4133,32.5678,27.01,33,34,0.27,SS,1706995340
299,scheveningen,52.1046,4.2756,10.54,92,75,6.69,NL,1706995341
300,kovaci,44.4492,18.205,0.86,78,25,1.18,BA,1706995342
301,mocimboa,-11.3167,40.35,25.22,86,98,0.7,MZ,1706995343
302,makueni boma,-1.8041,37.6203,19.46,77,58,1.33,KE,1706995344
303,lae,-6.7221,146.9847,25.37,87,61,3.4,PG,1706995345
304,la'ie,21.6477,-157.9253,25.03,58,8,4.92,US,1706995346
305,macusani,-14.0833,-70.4333,7.1,82,90,2.38,PE,1706995347
306,hamilton,39.1834,-84.5333,11.35,58,0,5.14,US,1706995349
307,labytnangi,66.6572,66.4183,-25.58,100,86,1.07,RU,1706995350
308,usinsk,65.9939,57.5281,-22.18,100,20,2.68,RU,1706995351
309,nadi,-17.8,177.4167,30.0,66,75,1.54,FJ,1706995352
310,alenquer,-1.9417,-54.7383,29.79,64,59,1.33,BR,1706995352
311,weno,7.4515,151.8468,25.97,94,100,4.12,FM,1706995353
312,zemio,5.0314,25.1361,23.3,39,76,1.7,CF,1706995354
313,santa rosalia,27.3167,-112.2833,16.82,50,0,3.68,MX,1706995353
314,new plymouth,-39.0667,174.0833,15.73,62,67,3.57,NZ,1706995109
315,fort bragg,35.139,-79.006,13.23,44,0,3.09,US,1706995356
316,iskateley,67.6803,53.1512,-13.32,84,20,7.15,RU,1706995357
317,christchurch,-43.5333,172.6333,19.19,51,51,5.14,NZ,1706995116
318,peniche,39.3558,-9.3811,13.03,92,0,1.13,PT,1706995359
319,kone,-21.0595,164.8658,28.97,78,95,2.87,NC,1706995360
320,fort mcmurray,56.7268,-111.381,-2.27,74,100,6.17,CA,1706995076
321,hilo,19.7297,-155.09,23.85,67,100,7.2,US,1706995361
322,khash,28.2211,61.2158,7.06,38,0,3.4,IR,1706995362
323,buala,-8.145,159.5921,27.78,83,98,2.21,SB,1706995363
324,pontal,-21.0225,-48.0372,23.15,64,100,2.01,BR,1706995364
325,blacksburg,37.2296,-80.4139,11.15,34,0,3.09,US,1706995365
326,sungjibaegam,41.2428,128.7989,-16.83,82,4,1.57,KP,1706995365
327,colonia,50.9333,6.95,11.09,88,75,6.17,DE,1706995349
328,loreto,22.2667,-101.9667,20.44,17,0,9.92,MX,1706995235
329,mount pearl,47.5166,-52.7813,-1.63,90,100,7.2,CA,1706995368
330,zagan,51.6176,15.3149,9.78,84,100,7.81,PL,1706995369
331,lakeview,42.432,-75.8655,2.46,79,14,1.79,US,1706995369
332,westport,41.1415,-73.3579,5.1,50,0,5.66,US,1706995370
333,lubang,13.8584,120.124,26.12,79,4,8.84,PH,1706995371
334,whakatane,-37.9585,176.9854,21.05,65,0,1.79,NZ,1706995372
